starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	0	1	0
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	0
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	0
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	0
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	0	1	0
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	0
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	0	1	0
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	0
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	0
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	0
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	0
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	0
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	0
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	0	1	0
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	0
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	0
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	0
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	0
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	0
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	0
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	0	1	0
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	0
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	0
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	0
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	0
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	0
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	0
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	0
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	0
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	0
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	0
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	0
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	0
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	0
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	0	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	0
Wed Apr 19 07:25:13 2017	1492579513	1	1	1	0
Wed Apr 19 07:25:16 2017	1492579516	1	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	0	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	1	1	1	1
Wed Apr 19 07:25:16 2017	1492579516	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
Wed Apr 19 07:25:14 2017	1492579514	0	1	1	1
Wed Apr 19 07:25:15 2017	1492579515	1	1	1	1
