starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:12 2017	1492575912	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:23 2017	1492575923	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:23 2017	1492575923	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:23 2017	1492575923	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:23 2017	1492575923	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:23 2017	1492575923	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:23 2017	1492575923	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:23 2017	1492575923	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	1	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:12 2017	1492575912	0	1	1	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	1	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	1	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	1	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	1	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	2	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	2	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	2	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	2	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	2	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	2	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	2	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	2	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	2	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	2	1
Wed Apr 19 06:25:17 2017	1492575917	0	1	2	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	2	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	2	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	2	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	2	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	2	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	2	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	2	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	2	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	2	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	2	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	2	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	2	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	2	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	2	1
Wed Apr 19 06:25:23 2017	1492575923	0	1	2	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	2	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	2	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	2	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	2	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	2	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	2	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	2	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	2	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	2	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	2	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	2	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	2	1
Wed Apr 19 06:25:29 2017	1492575929	0	1	2	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	2	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	2	1
Wed Apr 19 06:25:21 2017	1492575921	0	1	2	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	2	1
Wed Apr 19 06:25:27 2017	1492575927	0	1	2	1
Wed Apr 19 06:25:26 2017	1492575926	0	1	2	1
Wed Apr 19 06:25:23 2017	1492575923	0	1	2	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	2	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	2	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	2	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	2	1
Wed Apr 19 06:25:18 2017	1492575918	0	1	2	1
Wed Apr 19 06:25:25 2017	1492575925	0	1	2	1
Wed Apr 19 06:25:24 2017	1492575924	0	1	2	1
Wed Apr 19 06:25:23 2017	1492575923	0	1	2	1
Wed Apr 19 06:25:22 2017	1492575922	0	1	2	1
Wed Apr 19 06:25:19 2017	1492575919	0	1	2	1
