starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:42 2017	1492577682	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	0	1	0
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	0
Wed Apr 19 06:54:41 2017	1492577681	0	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	0	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:42 2017	1492577682	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	0	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	0
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	0	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	0
Wed Apr 19 06:54:40 2017	1492577680	0	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	0
Wed Apr 19 06:54:42 2017	1492577682	1	1	1	0
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	0	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	0	1	0
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	0	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	0	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	0	1	0
Wed Apr 19 06:54:40 2017	1492577680	1	0	1	0
Wed Apr 19 06:54:42 2017	1492577682	1	0	1	0
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	0
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	0	1	0
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	0
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	0	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:42 2017	1492577682	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	0	1	0
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:42 2017	1492577682	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	0
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:42 2017	1492577682	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:42 2017	1492577682	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	0	1	0
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	0
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	0
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	0	1	0
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:42 2017	1492577682	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	0	1	0
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:42 2017	1492577682	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	0
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:42 2017	1492577682	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	0	1	0
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:42 2017	1492577682	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	0	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:43 2017	1492577683	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	0	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	0	1	0
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:40 2017	1492577680	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
Wed Apr 19 06:54:41 2017	1492577681	1	1	1	1
Wed Apr 19 06:54:37 2017	1492577677	1	1	1	1
Wed Apr 19 06:54:38 2017	1492577678	1	1	1	1
